en,zh_hk
Report Information,報告資料
Report Introduction,報告介紹
Probiotics,益生菌
Commensal Bacteria,共生菌
Harmful Bacteria,有害菌
Bad,很差
Fair,較差
Average,中等
Good,良好
Excellent,優秀
Highly Deficient,嚴重缺乏
Slightly Deficient,輕微缺乏
Balanced,平衡
Slightly Overabundant,輕微過剩
Highly Overabundant,嚴重過剩
Elevated Risk,較高風險
Baseline Risk,正常風險
Bifidobacterium longum,長雙歧桿菌
Lactiplantibacillus plantarum,植物乳桿菌
Lactobacillus acidophilus,嗜酸乳桿菌
Lacticaseibacillus rhamnosus,鼠李糖乳桿菌
Lactobacillus fermentum,發酵乳桿菌
Lactobacillus reuteri,洛德乳桿菌
Bifidobacterium animalis,動物雙歧桿菌
Enterocloster bolteae,波爾特氏腸道梭狀菌
Escherichia coli,大腸桿菌
Klebsiella pneumoniae,肺炎克雷伯桿菌
Shigella flexneri,弗氏志賀氏菌
Ruminococcus gnavus,活潑瘤胃球菌
Alistipes onderdonkii,奧氏另枝菌
Bacteroides cellulosilyticus,溶纖維擬桿菌
Bacteroides fragilis,脆弱擬桿菌
Bacteroides ovatus,卵形擬桿菌
Bacteroides vulgatus,多形擬桿菌
Bacteroides uniformis,單形擬桿菌
Bacteroides xylanisolvens,溶木聚糖擬桿菌
Lachnospira eligens,挑剔毛螺菌
Roseburia intestinalis,腸道羅斯氏菌
Parabacteroides distasonis,迪斯塔森副擬桿菌
Bacteroides dorei,多氏擬桿菌
Bacteroides eggerthii,埃氏擬桿菌
Phascolarctobacterium faecium,糞考拉桿菌
Bacteroides thetaiotaomicron,細菌擬桿菌
Faecalibacterium prausnitzii,直腸無桿菌
Akkermansia muciniphila,嗜黏蛋白阿克曼菌
Ruminococcus torques,托克斯瘤胃球菌
Collinsella aerofaciens,產氣柯林斯菌
Megamonas funiformis,單形巨單胞菌
Gut Health,腸道健康
Metabolism,代謝水平
Mental Health,精神健康
Cognition,認知功能
Autoimmunity,自體免疫
Gastrointestinal Disease,胃腸道疾病
Irritable Bowel Syndrome - Constipation,大腸激躁症 - 便祕型
Irritable Bowel Syndrome - Diarrhea,大腸激躁症 - 腹瀉型
Inflammatory Bowel Disease,炎症性腸病
Colorectal Cancer,大腸癌風險
